no,Category,Type, Item,Unit,volume,Cable,Material,Labour
1,General work,Pole Installation,Pole 8 m,Each, 1.00 , -   ," 1,510.00 "," 1,438.00 "
2,General work,Pole Installation,Pole 9 m,Each, 1.00 , -   ," 2,260.00 "," 1,438.00 "
3,General work,Pole Installation,Pole 10 m,Each, 1.00 , -   ," 4,700.00 "," 1,438.00 "
4,General work,Pole Installation,Pole 12 m,Each, 1.00 , -   ," 5,100.00 "," 1,438.00 "
5,General work,Pole Installation,Stub Pole (0.22 m x 0.22 m x 4 m),Each, 1.00 , -   ," 1,645.00 "," 2,143.00 "
6,General work,Pole Installation,Stub Pole (0.22 m x 0.22 m x 6 m),Each, 1.00 , -   ," 3,145.00 "," 2,143.00 "
7,General work,Pole Installation,Stub Pole (0.30 m x 0.30 m x 6 m),Each, 1.00 , -   ," 3,645.00 "," 2,143.00 "
8,General work,Pole Installation,Stub Pole (0.30 m x 0.30 m x 7.5 m),Each, 1.00 , -   ," 4,545.00 "," 2,143.00 "
9,General work,Guy and Anchor Installation,Down Guy,Lot, 1.00 , -   , 378.00 , 429.00 
10,General work,Guy and Anchor Installation,Side-Walk Guy,Lot, 1.00 , -   , 692.00 , 643.00 
11,General work,Guy and Anchor Installation,Guy Wire Protector,Lot, 1.00 , -   , 300.00 , 214.00 
12,General work,Guy and Anchor Installation,Screw Anchor,Lot, 1.00 , -   , 594.00 , 643.00 
13,General work,Guy and Anchor Installation,Swamp Screw Anchor,Lot, 1.00 , -   , 864.00 ," 1,415.00 "
14,General work,Guy and Anchor Installation,RC-Log,Lot, 1.00 , -   , 395.00 , 943.00 
15,General work,Grounding System,Strand Ground Wire,Each, 1.00 , -   , 282.00 , 429.00 
16,General work,Grounding System,Shield Ground Wire,Each, 1.00 , -   , 309.00 , 429.00 
17,General work,Grounding System,Strand to Strand Ground Wire,Each, 1.00 , -   , 130.00 , 257.00 
18,General work,Grounding System,Building Ground Wire,Each, 1.00 , -   , 190.00 , 214.00 
19,General work,Grounding System,"Ground Rod (Dia. 15 mm x 2,400 mm)",Each, 1.00 , -   , 700.00 , 643.00 
20,General work,Crossarm and Cable Extension Arm Installation,Insulation Crossarm L-75 (0.25 x 0.75 m),Each, 1.00 , -   , 570.00 , 429.00 
21,General work,Crossarm and Cable Extension Arm Installation,Insulation Crossarm C-135 (3 x 1.5 m),Each, 1.00 , -   , 930.50 , 643.00 
22,General work,Crossarm and Cable Extension Arm Installation,Insulation Crossarm C-415 (4 x 1.5 m),Each, 1.00 , -   ," 1,178.00 ", 643.00 
23,General work,Crossarm and Cable Extension Arm Installation,Insulation Crossarm C-420 (4 x 2.0 m),Each, 1.00 , -   ," 1,581.00 ", 643.00 
24,General work,Crossarm and Cable Extension Arm Installation,Cable extension arm,Each, 1.00 , -   , 81.00 , 214.00 
25,General work,Moisture Protection,Mouisture Dam,Each, 1.00 , -   , 500.00 , 214.00 
26,Optical Fiber Cable Work,Aerial OFC Work,Aerial 12F-SM/ADSS-FR ,m, 100.00 ," 1,328.00 ", 253.00 ," 1,286.00 "
27,Optical Fiber Cable Work,Aerial OFC Work,Aerial 24F-SM/ADSS-FR ,m, 100.00 ," 1,703.00 ", 253.00 ," 1,286.00 "
28,Optical Fiber Cable Work,Aerial OFC Work,Aerial 48F-SM/ADSS-FR ,m, 100.00 ," 2,379.00 ", 253.00 ," 1,286.00 "
29,Optical Fiber Cable Work,Aerial OFC Work,Aerial 60F-SM/ADSS-FR ,m, 100.00 ," 2,638.00 ", 253.00 ," 1,286.00 "
30,Optical Fiber Cable Work,Aerial OFC Work,Aerial 120F-SM/ADSS-FR ,m, 100.00 ," 4,934.00 ", 277.00 ," 1,286.00 "
31,Optical Fiber Cable Work,Aerial OFC Work,Aerial 216F-SM/ADSS-FR ,m, 100.00 ," 10,000.00 ", 283.00 ," 1,286.00 "
32,Optical Fiber Cable Work,Aerial OFC Work,Aerial 12F-SM/ARSS-FR ,m, 100.00 ," 2,328.00 ", 253.00 ," 1,286.00 "
33,Optical Fiber Cable Work,Aerial OFC Work,Aerial 24F-SM/ARSS-FR ,m, 100.00 ," 2,563.00 ", 253.00 ," 1,286.00 "
34,Optical Fiber Cable Work,Aerial OFC Work,Aerial 48F-SM/ARSS-FR ,m, 100.00 ," 3,516.00 ", 257.00 ," 1,286.00 "
35,Optical Fiber Cable Work,Aerial OFC Work,Aerial 60F-SM/ARSS-FR ,m, 100.00 ," 4,014.00 ", 257.00 ," 1,286.00 "
36,Optical Fiber Cable Work,Aerial OFC Work,Aerial 120F-SM/ARSS-FR ,m, 100.00 ," 7,248.00 ", 277.00 ," 1,286.00 "
37,Optical Fiber Cable Work,Aerial OFC Work,Aerial 12F-SM/ADSS FRP-FR ,m, 100.00 ," 2,096.00 ", 253.00 ," 1,286.00 "
38,Optical Fiber Cable Work,Aerial OFC Work,Aerial 24F-SM/ADSS FRP-FR ,m, 100.00 ," 2,394.00 ", 253.00 ," 1,286.00 "
39,Optical Fiber Cable Work,Aerial OFC Work,Aerial 48F-SM/ADSS FRP-FR ,m, 100.00 ," 3,436.00 ", 257.00 ," 1,286.00 "
40,Optical Fiber Cable Work,Aerial OFC Work,Aerial 60F-SM/ADSS FRP-FR ,m, 100.00 ," 3,645.00 ", 257.00 ," 1,286.00 "
