NO,Operator,Node_Status,Life,Asset,Province,Service_Center,Brand,NE_IP,NE_Name,NE_Type,Bandwidth,Used_Port,Free_Port,Total,Battery_life,Type,PON_Type,OLT_Slot,Platform,Name_Umbo,customer_Umbo,OLT_Twin,Procurement_OLT,Procurement_Battery_Li_On,Battery_Site,Asset_Battery,Check_Update_OLT
"1","NT","Online","รอสอบถาม","null","เชียงราย","เชียงราย 1","ZTE","10.230.21.160","CRI_NT2_ChiangRai_Indoor(LR)","C600","10G","160","16","3,002","3 - 5 ปี","Indoor","LR","15 Slot","New Platform","เชียงราย","2,970","-","null","null","null","null","OLT ยังใช้"
"2","NT","Online","รอสอบถาม","null","ลำปาง","ลำปาง 1","ZTE","10.230.41.100","LPG_NT2_Lampang01_indoor(LR)","C300v2","10G","56","8","2,227","9 ปีขึ้นไป","Indoor","LR","15 Slot","-","ลำปาง 1 (FTTx)","2,249","-","2566","2569","48V 20Ah & EMM","205011485307","OLT ยังใช้"
"3","NT","Online","รอสอบถาม","null","แม่ฮ่องสอน","ปาย 1","ZTE","10.230.25.42","MSN_NT2_Pai_Indoor","C300v2","10G","84","20","2,001","9 ปีขึ้นไป","Indoor","LR","15 Slot","-","ปาย (FTTx)","1,994","ตั้งคู่ C600","2565","2569","48V 20Ah","205011495921","OLT ยังใช้"
"4","NT","Online","รอสอบถาม","null","นครสวรรค์","นครสวรรค์ 1","ZTE","10.229.69.239","NSN_NT2_NSN2_(NAKHONSAWAN2))_Indoor(LR)","C300","10G","91","21","1,854","3 - 5 ปี","Indoor","LR","15 Slot","-","นครสวรรค์ 2 (FTTx)","1,866","ตั้งคู่ C600","null","null","null","null","OLT ยังใช้"
"5","NT","Online","รอสอบถาม","null","เชียงใหม่","เชียงดาว","ZTE","10.230.1.50","CMI_NT2_CDO_Indoor(LR)","C300v2","10G","43","5","1,739","1 - 2 ปี","Indoor","LR","15 Slot","-","OLT_เชียงดาว_CDO","1,474","-","null","null","null","null","OLT ยังใช้"
"6","NT","Online","รอสอบถาม","null","เชียงราย","เชียงราย 2","Fiberhome","10.162.8.131","CRI_NT1_CRI_Indoor(LR)  (สค.เชียงราย) 10G","AN5116-06B","10G","85","11","1,691","9 ปีขึ้นไป","Indoor","LR","15 Slot","-","สค.เชียงราย#1","1,281","-","2566","null","null","null","OLT ยังใช้"
"7","NT","Online","รอสอบถาม","null","เชียงราย","เวียงป่าเป้า","ZTE","10.230.21.105","CRI_NT2_WiangPaPoa_Indoor(LR)","C300v2","10G","74","6","1,676","9 ปีขึ้นไป","Indoor","LR","15 Slot","-","เวียงป่าเป้า","1,705","-","2568 (ระหว่างปี)","null","null","null","OLT ยังใช้"
"8","NT","Online","รอสอบถาม","null","เพชรบูรณ์","เพชรบูรณ์ 1","ZTE","10.229.85.201","PBN_NT2_PhetChaBun_Indoor (LR)","C600","10G","61","19","1,623","1 - 2 ปี","Indoor","LR","15 Slot","New Platform","เพชรบูรณ์ (XGPON)","1,639","-","null","null","null","null","OLT ยังใช้"
"9","NT","Online","รอสอบถาม","null","เชียงใหม่","ศูนย์ราชการจังหวัดเชียงใหม่","ZTE","10.230.2.33","CMI_NT2_CMI2/4_Indoor(LR)","C300v2","10G","51","13","1,580","3 - 5 ปี","Indoor","LR","15 Slot","-","CMI_CMI2_OLT04_(เชียงใหม่ 2/4 XGpon)","1,354","-","null","null","null","null","OLT ยังใช้"
"10","NT","Online","รอสอบถาม","null","เชียงใหม่","สันกำแพง","ZTE","10.230.1.120","CMI_NT2_BOS_Indoor(LR)","C300v2","10G","48","8","1,572","9 ปีขึ้นไป","Indoor","LR","15 Slot","-","CMI_BOS_OLT01_(บ่อสร้าง)","1,146","-","null","null","null","null","OLT ยังใช้"
"11","NT","Online","รอสอบถาม","null","เชียงใหม่","แม่ริม","ZTE","10.230.1.119","CMI_NT2_MRM_Indoor(LR)","C300v2","10G","46","10","1,571","9 ปีขึ้นไป","Indoor","LR","15 Slot","-","CMI_MRM_OLT01_(แม่ริม)","1,363","-","2568 (ระหว่างปี)","null","null","null","OLT ยังใช้"
"12","NT","Online","รอสอบถาม","null","เชียงราย","เทิง","ZTE","10.230.21.102","CRI_NT2_Thoeng_Indoor(LR)","C600","10G","68","12","1,570","9 ปีขึ้นไป","Indoor","LR","15 Slot","New Platform","เทิง","1,601","-","2566","null","null","null","OLT ยังใช้"
"13","NT","Online","รอสอบถาม","null","เชียงใหม่","สันกำแพง","ZTE","10.230.1.202","CMI_NT2_SKP_Indoor(LR)","C300v2","10G","41","7","1,533","9 ปีขึ้นไป","Indoor","LR","15 Slot","-","CMI_SKP_OLT01_(สันกำแพง)","1,324","-","null","null","null","null","OLT ยังใช้"
"14","NT","Online","รอสอบถาม","null","แม่ฮ่องสอน","แม่สะเรียง 1","ZTE","10.230.25.41","MSN_NT2_Maesariang_Indoor","C300","10G","48","24","1,522","9 ปีขึ้นไป","Indoor","LR","15 Slot","-","แม่สะเรียง (FTTx)","1,513","ตั้งคู่ C600","2565","null","null","null","OLT ยังใช้"
"15","NT","Online","รอสอบถาม","null","แม่ฮ่องสอน","แม่ฮ่องสอน 1","ZTE","10.230.25.40","MSN_NT2_Maehongson_Indoor","C300","10G","71","33","1,465","9 ปีขึ้นไป","Indoor","LR","15 Slot","-","แม่ฮ่องสอน (FTTx)","1,404","ตั้งคู่ C600","2565","2569","48V 20Ah","202011100831","OLT ยังใช้"
"16","NT","Online","รอสอบถาม","null","เชียงใหม่","ศูนย์ราชการจังหวัดเชียงใหม่","ZTE","10.230.2.55","CMI_NT2_CMI5_Indoor(LR)","C300v2","10G","53","11","1,428","9 ปีขึ้นไป","Indoor","LR","15 Slot","-","cmi_cmgc_olt03_(ศูนย์ราชการเชียงใหม่ ZTE)","1,274","ตั้งคู่ C600","2567","null","null","null","OLT ยังใช้"
"17","NT","Online","รอสอบถาม","null","เชียงใหม่","ฝาง 1","ZTE","10.230.1.113","CMI_NT2_FNG_Indoor(LR)","C300v2","10G","36","8","1,406","9 ปีขึ้นไป","Indoor","LR","15 Slot","-","CMI_FAN_OLT01_(ฝาง)","1,145","-","null","null","null","null","OLT ยังใช้"
"18","NT","Online","รอสอบถาม","null","เชียงใหม่","จอมทอง","ZTE","10.230.4.156","CMI_NT2_CTG_Indoor(LR)","C300v2","10G","32","8","1,399","9 ปีขึ้นไป","Indoor","LR","15 Slot","-","CMI_CTG_OLT01_(จอมทอง)","1,145","-","null","null","null","null","OLT ยังใช้"
"19","NT","Online","รอสอบถาม","null","เชียงใหม่","สันทราย","ZTE","10.230.1.201","CMI_NT2_MJO_Indoor(LR)","C300v2","10G","45","3","1,336","9 ปีขึ้นไป","Indoor","LR","15 Slot","-","CMI_MJO_OLT01_(แม่โจ้)","1,104","-","null","null","null","null","OLT ยังใช้"
"20","NT","Online","รอสอบถาม","null","เชียงใหม่","ศูนย์ราชการจังหวัดเชียงใหม่","ZTE","10.230.2.134","CMI_NT2_CMI2/3_Indoor(LR)","C300v2","10G","39","25","1,334","6 - 8 ปี","Indoor","LR","15 Slot","-","CMI_CMI2_OLT03_(เชียงใหม่ 2/3)","1,157","-","2568 (ระหว่างปี)","null","null","null","OLT ยังใช้"
"21","NT","Online","รอสอบถาม","null","เชียงใหม่","สี่แยกสนามบิน","ZTE","10.230.4.98","CMI_NT2_CMI4/2_Indoor(LR)","C300v2","10G","52","12","1,318","9 ปีขึ้นไป","Indoor","LR","15 Slot","-","cmi_cmi4_olt02_(เชียงใหม่ 4/2)","1,149","-","null","null","null","null","OLT ยังใช้"
